sheet,fieldName,fieldDefinition,fieldType,formatString,lookup,unit,minValue,maxValue,warnLevel
Location,site,MarineGEO site abbreviation,list,,,,,,warning
Location,locationID,Unique code for each sampling location,string,,,,,,warning
Location,locality,Local or common name of the sampling location,string,,,,,,warning
Location,decimalLatitude,"Decimal latitude hh.hhhhhhh",decimal,,,degree,-90,90,warning
Location,decimalLongitude,"Decimal longitude hh.hhhhhhh",decimal,,,degree,-180,180,warning
Location,locationRemarks,Comments or notes about the location,string,,,,,,warning
Taxon,taxonID,Unique Identifer for taxon,string,,,,,,warning
Taxon,vernacularName,"A common or vernacular name",string,,,,,,warning
Taxon,taxonRank,"The taxonomic rank of the most specific name in the scientificName.",list,,,,,,warning
Taxon,scientificName,"Lowest known taxon name",string,,,,,,warning
MacrophyteMass,locationID,Foreign key to the locationID defined on the Location sheet,fkey,,Location$locationID,,,,warning
MacrophyteMass,sampleID,"Biomass Core Sample Identifier",string,,,,,,warning
MacrophyteMass,macrophyteTaxaID,"Foreign key to taxonID on the Taxon sheet",fkey,,Taxon$taxonID,,,,warning
MacrophyteMass,tinMass,Empty tin mass in grams,decimal,,,grams,0,,warning
MacrophyteMass,macrophyteWetMass,Macrophyte wet mass in grams,decimal,,,grams,0,,warning
MacrophyteMass,macrophyteDryMass,Macrophyte dry mass in grams,decimal,,,grams,0,,warning
MacrophyteMass,macrophyteMass,Macrophyte total mass in grams (wet minus dry minus tin),equation,,"=macrophyteWetMass-macrophyteDryMass-tinMass",grams,0,,warning
InfaunaCount,locationID,Foreign key to the locationID defined on the Location sheet,fkey,,Location$locationID,,,,warning
InfaunaCount,sampleID,"Biomass Core Sample Identifier",string,,,,,,warning
InfaunaCount,infaunaTaxaID,"Foreign key to taxonID on the Taxon sheet",fkey,,Taxon$taxonID,,,,warning
InfaunaCount,count,Number of individuals,integer,,,dimensionless,0,,warning